CVE,In JSON,In Benchmark,JSON CWEs,Benchmark CWEs,Matched CWEs,Only in JSON,Only in Benchmark,Has Match,Exact Match,Precision,Recall,F1 Score
CVE-2020-0041,True,True,CWE-787;CWE-20,CWE-787;CWE-20,CWE-787;CWE-20,,,True,True,1.0,1.0,1.0
CVE-2020-0069,True,True,CWE-787;CWE-862;CWE-20,CWE-787;CWE-20,CWE-787;CWE-20,CWE-862,,True,False,0.6666666666666666,1.0,0.8
CVE-2020-0137,True,True,CWE-862;CWE-269,CWE-862,CWE-862,CWE-269,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-0202,True,True,CWE-862,CWE-862,CWE-862,,,True,True,1.0,1.0,1.0
CVE-2020-0206,True,True,CWE-1284;CWE-20,CWE-1284,CWE-1284,CWE-20,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-0227,True,True,CWE-862,CWE-862,CWE-862,,,True,True,1.0,1.0,1.0
CVE-2020-0238,True,True,CWE-362;CWE-610,CWE-362;CWE-610,CWE-362;CWE-610,,,True,True,1.0,1.0,1.0
CVE-2020-0298,True,True,CWE-862,CWE-862,CWE-862,,,True,True,1.0,1.0,1.0
CVE-2020-0299,True,True,CWE-862,CWE-862,CWE-862,,,True,True,1.0,1.0,1.0
CVE-2020-0417,True,True,CWE-862;CWE-732,CWE-732,CWE-732,CWE-862,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-0437,True,True,CWE-862,CWE-862,CWE-862,,,True,True,1.0,1.0,1.0
CVE-2020-0439,True,True,CWE-706;CWE-862;CWE-732,CWE-862,CWE-862,CWE-706;CWE-732,,True,False,0.3333333333333333,1.0,0.5
CVE-2020-0440,True,True,CWE-862;CWE-1021,CWE-862,CWE-862,CWE-1021,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-0441,True,True,CWE-770;CWE-1284;CWE-20,CWE-400;CWE-20,CWE-20,CWE-770;CWE-1284,CWE-400,True,False,0.3333333333333333,0.5,0.4
CVE-2020-0475,True,True,CWE-862,CWE-862,CWE-862,,,True,True,1.0,1.0,1.0
CVE-2020-0479,True,True,CWE-862,CWE-79,,CWE-862,CWE-79,False,False,0.0,0.0,0
CVE-2020-0481,True,False,CWE-862,,,CWE-862,,False,False,0.0,0,0
CVE-2020-0485,True,True,CWE-862;CWE-732,CWE-862,CWE-862,CWE-732,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-0601,True,True,CWE-295,CWE-295,CWE-295,,,True,True,1.0,1.0,1.0
