cwe_id,name,type,score,relationship_count
178,Improper Handling of Case Sensitivity,base,3.757,0
1289,Improper Validation of Unsafe Equivalence in Input,base,3.6399999999999997,0
420,Unprotected Alternate Channel,base,3.6399999999999997,0
611,Improper Restriction of XML External Entity Reference,base,3.6399999999999997,0
289,Authentication Bypass by Alternate Name,base,2.8651999999999997,0
481,Assigning instead of Comparing,variant,2.6784000000000003,0
441,Unintended Proxy or Intermediary ('Confused Deputy'),class,2.5376,0
288,Authentication Bypass Using an Alternate Path or Channel,Base,2.490736636631297,0
306,Missing Authentication for Critical Function,base,2.4699999999999998,0
347,Improper Verification of Cryptographic Signature,base,2.4699999999999998,0
